"Ticker","Name","Series Type","Currency","Country","Sector","Industry","Sic","Exchange","Cik","Fiscal_End","Units","Scale","Flow","Adjustment","Periodicity","Metadata","Corporate_History","Data Notes"
"USDDEM","Germany Deutschemark per US Dollar","Exchange Rates - Market","United States Dollar","United States",,,,,,,"Currency Units","Units","Stock","none","Monthly From Jul 1832 To Jan 1880<BR>Weekly From Jan 1880 To Jan 1896<BR>Daily From Jan 1896 To Dec 1944<BR>Monthly From Jan 1945 To Dec 1949<BR>Daily From Jan 1950 To Apr 2020<BR>","Sources: Wechsel-Cours in Hamburg, Hamburger Borsenhalle and Vossische Zeitung in Schneider (1794-1912); Koeniglich Preussischen Statistischen Landesamt, Statistisches Jahrbuch fur den Preussischen Staat, Berlin: KPSL, (1882-1911), Franz Pick, Pick`s Currency Yearbook, New York: Pick`s World Currency Report (1951-1995) and Franz Pick and Rene Sedillot, All the Monies of the World, New York: Pick Publishing Corp., 1971; Jurgen Schneider, Oskar Schwarzer and Friedrich Zellfelder, Wahrungen der Welt, Vol. 1-10, Stuttgart: Franz Steiner Verlag, 1991 ; League of Nations, Monthly Statistical Bulletin, Geneva: League of Nations (1920-1946); Schweizerisches Nationalbank, Monatsbericht, Zurich; The Economist; Commercial and Financial Chronicle; Uffici di Cambi, Italy; Financial Times; Bundesbank, Exchange Rate Statistics; Bundesbank web site <br />Notes: On September 21, 1753 the Convention of Vienna fixed the Thaler of account at 1.50 Gulden. The Dresden Convention of July 30, 1838 made the first attempt to link together the German monetary systems on a silver standard.  On January 24, 1857, The Germanic Monetary Agreement made the silver Thaler the monetary unit of the Northern German Confederation. On December 4, 1871, the minting of silver coins was suspended and the mark replaced the previous Germanic currencies at rates of 10 new Marks = 3.33 Thaler = 5.50 Gulden = 8 Marks = 5.33 Hamburg/Luebeck Schillings. The gold standard was established on July 12, 1873.  Prior to that the Hamburg mark was the primary currency for “Germany.” Exchange rates for Hamburg are available back to 1794. Germany abandoned silver for gold in 1871.  <br />  Four series are provided for Germany during the 20th Century.  The first series is the pre-inflation exchange rate.  Data for the Reichsmark is used beginning in March 1873 (prior to that date, London`s exchange rate for Frankfurt can be used. <br />The Rentenmark was introduced on October 15, 1923.  It was guaranteed by gold-linked mortgages on landed properties. The Dawes Committee set up a plan to stabilize the currency, and on August 30, 1924 the Reichsmark replaced the Rentenmark at 1 Reichsmark = 1 Rentenmark = 1 trillion paper Marks = 1 old gold Mark = 358.422939 milligrams of fine gold = 4.2 US Dollars. Data on the Reichsmark begins in January 1924, and weekly data for the gold Reichsmark can be found in XRDEMRKW.  During World War II, exchange rates were for official purposes only, and had little practical meaning.    <br />Beginning in 1931, Germany created different categories of the blocked mark for the sale of assets such as the Kreditsperrmark, Auswanderersperrmark, Effektensperrmark, Notensperrmark, and Registersperrmark, Konversionsperrmark. Two series have been provided which better reflect changes in the market value of the mark during the 1930s and World War II.  The first is the Registermark (XRDERM), which was used for tourists and investments made in Germany, and the second is Effektensperrmark, which was used for the sale of securities in Germany.  The League of Nations provided gold parity values for these exchange rates in London and Zurich, and they have been converted into dollar rates.  Quarterly data are given for III and IV/1943.   <br />When the German Reich occupied countries, they usually created a new exchange rate of the former currency into Reichsmark, which was used more for official than practical purposes.  For more information on exchange rates during World War II, see the League of Nations Yearbooks for 1937 to 1944/45, which provide information on exchange rates for both Germany and occupied countries.   <br />Once the allies liberated occupied countries, new official exchange rates were introduced, though these often varied significantly from black market rates.  The Allies used an exchange rate of 10 Reichsmark to the dollar beginning in October 1944 and introduced the Allied Militarbehorde Mark, which was eventually converted into the Deutsche Mark.  Black market rates begin in July 1946. On June 20, 1948, the currency was reformed with salaries and pensions converted at 1:1 and all other payments converted at 10 Reichsmark to the Deutsche Mark. The exchange rate was initially set at 1 U.S. Dollar = 3.33 Deutsche Mark, revised to 4.20 Deutsche Mark on September 18, 1949. A special currency, the Sperrmark, was created on March 31, 1951 to enable foreigners to purchase German securities.  The Sperrmark hit a low of 8.06 Sperrmark to the U.S. Dollar in December 1951, and the Sperrmark accounts were consolidated in September 1954 making them convertible. The mark was revalued to 1 U.S. Dollar = 4 Deutsche Mark on March 6, 1961 and to 3.66 Deutsche Mark on October 29, 1969. <br />The East German Mark Coupon was introduced on June 24, 1948 at a rate of 10 Reichsmark = 1 Coupon Mark, with different rates for banknotes, deposits, prices, salaries and taxes. The Ostmark (DDM) replaced the Coupon Mark on July 20, 1948 at 1 Deutschmark = 1.25 Ostmark. The basic rate was changed to 1 U.S. Dollar = 2.22 Ostmark on October 29, 1953 and 4.20 Ostmark on January 7, 1958. When the German Mark floated in July 1973, the exchange rate was reset to 1 Ostmark = 1 Deutschemark where it remained until July 1, 1990 when the Staatsbank ceased to exist and the Bundesbank took over all monetary responsibilities.  Data for the Ostmark can be found in XRDDMM (DDM/278). <br />  Data for the Hamburg Agio (IPDEUHM) is given from January 1687 to December 1785.  The Agio showed the spread between the official value of the Hamburg Schellingen Banco and the actual value for coins.  A value of 5.25 means a 5.25% premium, i.e. it took 105.25 Scellingen Current to pay a debt of 100 Schellingen Banco",,
"USDITL","Italy Lira per US Dollar","Exchange Rates - Market","United States Dollar","United States",,,,,,,"Currency Units","Units","Stock","none","Monthly From Nov 1815 To Jan 1880<BR>Weekly From Jan 1880 To Dec 1913<BR>Daily From Dec 1913 To Apr 2020<BR>","Sources: Giornale Italiano, Gazetta di Milano and Il Sole in Schneider (1815-1910), Franz Pick, Pick`s Currency Yearbook, New York: Pick`s World Currency Report (1951-1995) and Franz Pick and Rene Sedillot, All the Monies of the World, New York: Pick Publishing Corp., 1971; Jurgen Schneider, Oskar Schwarzer and Friedrich Zellfelder, Wahrungen der Welt, Vol. 1-10, Stuttgart: Franz Steiner Verlag, 1991 ; League of Nations, Monthly Statistical Bulletin, Geneva: League of Nations (1920-1946); Schweizerisches Nationalbank, Monatsbericht, Zurich; The Economist; Commercial and Financial Chronicle; Uffici di Cambi, Italy; Financial Times; Bundesbank, Exchange Rate Statistics; Banca d`Italia web site <br />Notes: The modern Lira was introduced in Piedmont, patterning the Lira after the French monetary system. The Lira was adopted as the monetary unit of Italy on August 24, 1862 at 1 Lira = 4.5 grams of fine silver = 1 French Franc. The cross exchange rate between the Italian Lira and the British pound is used through 1914. Italy joined the Latin Monetary Union on November 20, 1865.  Although the Lira remained inconvertible, limits on banknote issue were introduced in 1893, though lifted in August 1914. The lira was stabilized on December 21, 1927 at 1 U.S. Dollar = 19 Lire, and convertibility was suspended on May 26, 1934.  A Tourist Lira was introduced on March 29, 1936 at 24.89 Lire = 1 U.S. Dollar. The official rate fell to 19.8 lire in September 1939, and 120 Lire with the invasion of the Allies on June 1943, amended to 100 Lire in July 1943 where the Amlire was issued in occupied Italy whereas in German occupied Italy the exchange rate was 1 Reichsmark = 10 Lire. The Lira fell to 225 Lire on January 4, 1946, 509 Lire on March 26, 1946 and settled at 350 Lire in July 1947, only to fall to 575 Lire on November 28, 1948 and 625 Lire on September 21, 1949.  For the World War II period, the \""conto speciale\"" is used from January 1939 through December 1945.  It allowed some international payments connected with transit traffic, maritime freight, etc. to be made.  Gold parity rates were given, and these have been adjusted to dollar exchange rates.   The black market rate is used beginning in January 1946.<br />The Euro replaced the Italian Lira on January 1, 1999 at the rate of 1936.27 Italian Lira to 1 Euro.",,
"USDJPY","Japanese Yen per US Dollar","Exchange Rates - Market","United States Dollar","United States",,,,,,,"Currency Units","Units","Stock","none","Monthly From Jul 1862 To Jun 1914<BR>Daily From Jul 1914 To Apr 1947<BR>Monthly From May 1947 To May 1949<BR>Daily From Jun 1949 To Apr 2020<BR>","Sources: Schneider (1872-1914), Junnosuke Inoye, Problems of the Japanese Exchange, 1914-1926, London: Macmillan & Co., 1931 (1880-1915), Franz Pick, Pick`s Currency Yearbook, New York: Pick`s World Currency Report (1951-1995) and Franz Pick and Rene Sedillot, All the Monies of the World, New York: Pick Publishing Corp., 1971; Jurgen Schneider, Oskar Schwarzer and Friedrich Zellfelder, Wahrungen der Welt, Vol. 1-10, Stuttgart: Franz Steiner Verlag, 1991 ; League of Nations, Monthly Statistical Bulletin, Geneva: League of Nations (1920-1946); Schweizerisches Nationalbank, Monatsbericht, Zurich; The Economist; Commercial and Financial Chronicle; Uffici di Cambi, Italy; Financial Times; Bundesbank, Exchange Rate Statistics; Bank of Japan web site <br />Notes: The cross exchange rate between the Mexican dollar and pounds sterling between Yokohama and London is used through 1898. Japan adopted the Mexican silver dollar in February 1868 and began minting gold in June 1871 set at parity with the U.S. Dollar.  A silver standard was adopted in 1884, and Japan returned to the gold standard on October 1, 1897 at a rate of 1 Yen = 750 milligrams of fine gold, and switched back to paper in September 1917, and back to gold in January 1930.  In December 1931, the yen was devalued and permanently detached from gold. Data are an average of the high and low for the yen/dollar exchange rate from January 1900 until December 1915. The yen abandoned its link to the Pound Sterling in September 1939, pegging the yen to the Dollar at 1 U.S. Dollar = 4.267 Yen, stabilized at 14 pence on June 1, 1941, and set the currency at 1.705 Reichsmark on December 29, 1941. The official pre-World War II exchange rate is used through August 1945. The ï¿½Hawaiianï¿½ Dollar was set at 20 Military Yen = 1 Hawaiian Dollar in September 1942. The allies` rate of 50 yen to the dollar starts in September 1945, and black market rates are given starting in August 1946.",,
"USDNLG","Netherlands Guilder per US Dollar","Exchange Rates - Market","United States Dollar","United States",,,,,,,"Currency Units","Units","Stock","none","Monthly From Jan 1792 To Jan 1855<BR>Weekly From Jan 1855 To Dec 1858<BR>Monthly From Jan 1859 To Jan 1867<BR>Weekly From Jan 1867 To Dec 1870<BR>Monthly From Jan 1871 To Jan 1880<BR>Weekly From Jan 1880 To Dec 1913<BR>Daily From Dec 1913 To Apr 2020<BR>","Sources: Corso delli Cambiati in Amsterdam (1700-1711), Cours van Koopmannschappen (1701-1789), Cours des Marchandises (1731-1748), Prijscourant der Effecten (1796-1842) and Amsterdamsch Effectenblad (1843-1914) in Schneider (1792-1914), Posthmous, N. W., Inquiry into the History of Prices in Holland, 2 vols., Leiden: E. J. Brill, 1964 (1813-1912), Koeniglich Preussischen Statistischen Landesamt, Statistisches Jahrbuch fur den Preussischen Staat, Berlin: KPSL, (1882-1911), Franz Pick, Pick`s Currency Yearbook, New York: Pick`s World Currency Report (1951-1995) and Franz Pick and Rene Sedillot, All the Monies of the World, New York: Pick Publishing Corp., 1971; Jurgen Schneider, Oskar Schwarzer and Friedrich Zellfelder, Wahrungen der Welt, Vol. 1-10, Stuttgart: Franz Steiner Verlag, 1991 (1816-1881); League of Nations, Monthly Statistical Bulletin, Geneva: League of Nations (1920-1946); Schweizerisches Nationalbank, Monatsbericht, Zurich; The Economist; Commercial and Financial Chronicle; Uffici di Cambi, Italy; Financial Times; De Nederlandsche Bank web site <br />Notes: The cross exchange rate between Amsterdam and Hamburg is used from 1792 to 1814. After elimination of the French monetary system, the Guilder was reestablished as the Dutch currency using a bimetallic standard with 1 Guilder = 6.0565 milligrams of fine gold = 9.615 grams of fine silver (15.88:1). In 1850, gold coins were demonetized and the Netherlands went on a silver standard until June 6, 1875 when the gold standard was reintroduced at 1 Guilder = 604.8 milligrams of fine gold.  The Netherlands went off gold in 1914, returned to gold on April 28, 1925, and finally abandoned gold on September 27, 1936. Under German occupation, the exchange rate was set at 1 Guilder = 1.50 Reichsmark on May 10, 1940 and 1.327 Reichsmark on July 17, 1940. The pre-war exchange rate is used through September 14, 1944, when the Allies set the exchange rate at 1 U.S. Dollar = 2.652 Guilders, devaluing to 3.80 Guilders on March September 20, 1949 and revaluing to 3.62 Guilders on March 7, 1961 in line with the German Mark revaluation. The Guilder was exchanged for the Euro on January 1, 1999 at the rate of 2.20371 Guilders to the Euro.<br />  Data for the Dutch Agio (IPNLDAW) is given from May 1700 to December 1819.  The Agio showed the spread between the official value of the Dutch Schellingen Banco and the actual value for coins.  A value of 5.25 means a 5.25% premium, i.e. it took 105.25 Scellingen Current to pay a debt of 100 Schellingen Banco",,
"USDNOK","Norway Krone per US Dollar","Exchange Rates - Market","United States Dollar","United States",,,,,,,"Currency Units","Units","Stock","none","Monthly From Apr 1819 To Dec 1878<BR>Daily From Jan 1879 To Apr 2020<BR>","Sources:Klovland, J.T.(2004). ""Historical exchange rate data 1819-2003"", 289-328, Historical Monetary Statistics for Norway 1819-2003, Norges Bank Occasional Papers no. 35, Oslo, 2004, Norges Bank (1819-1877), Norwegian Yearbook (1878-1914), Franz Pick, Pick's Currency Yearbook, New York: Pick's World Currency Report (1951-1995) and Franz Pick and Rene Sedillot, All the Monies of the World, New York: Pick Publishing Corp., 1971; Jurgen Schneider, Oskar Schwarzer and Friedrich Zellfelder, Wahrungen der Welt, Vol. 1-10, Stuttgart: Franz Steiner Verlag, 1991; League of Nations, Monthly Statistical Bulletin, Geneva: League of Nations (1920-1946); Commercial and Financial Chronicle (1920-1970); Uffici di Cambi, Italy (1970-); Financial Times (1990-); Norges Bank web site  Notes: Norway was part of the Kingdom of Denmark from 1450 to 1814 and used the Danish monetary system, and was part of the Kingdom of Sweden from 1814 to 1905 and used the Swedish monetary system. Norway became a member of the Scandinavian Monetary Union on March 8, 1875. Data are based upon the cross rate between the Norway Kroner and Swedish Krona or British Pound between 1819 and 1905. Data are for exchange rates for Kristiania/Oslo. The Norwegian Krone was introduced in 1905 at 1 Pound Sterling = 18.1595 Kroner and 1 Krone = 403.226 milligrams of fine gold. Convertibility was suspended on August 4, 1914, restored on March 8, 1916, suspended in November 1920, restored on April 14, 1928, and suspended on September 28, 1931 with a new convertibility of 1 Pound Sterling = 19.90 Kronor. Norway left the Sterling area on August 29, 1939 setting the exchange rate at 1 U.S. Dollar = 4.40 Kronor.  Under German occupation, the exchange rate was 1 Krone = 0.60 Reichsmark, then 0.57 Reichsmark. On May 16, 1945, the exchange rate was reestablished at 1 U.S. Dollar = 4.963 Kronor, falling to 7.142 Kroner on September 20, 1949.",,
"USDSEK","Sweden Kronor per US Dollar","Exchange Rates - Market","United States Dollar","United States",,,,,,,"Currency Units","Units","Stock","none","Monthly From Nov 1813 To Dec 1878<BR>Daily From Jan 1879 To Apr 2020<BR>","Sources: Riksbank (1813-1909), Ekonomist Oversikt (1910-1914), Franz Pick, Pick`s Currency Yearbook, New York: Pick`s World Currency Report (1951-1995) and Franz Pick and Rene Sedillot, All the Monies of the World, New York: Pick Publishing Corp., 1971; Jurgen Schneider, Oskar Schwarzer and Friedrich Zellfelder, Wahrungen der Welt, Vol. 1-10, Stuttgart: Franz Steiner Verlag, 1991; League of Nations, Monthly Statistical Bulletin, Geneva: League of Nations (1920-1946); Commercial and Financial Chronicle (1920-1970); Uffici di Cambi, Italy (1970-); Financial Times (1990-); Sveriges Riksbank web site  Notes:  From 1665 to 1776, 1 Daler Silvermynt = 32 Ore Silverymynt  = 3 Daler Kopparmynt; from 1777 to 1802, 1 Riksdaler = 48 Skilling = 18 Daler Kopparmynt; from 1803 to 1833, 1 Riksdaler = 1 Â½ Riksdaler Riksgaeld; from 1834 to 1856, 1 Riksdaler Specie = 2 2/3 Riksdaler Banco = 4 Riksdaler Riksgaeld; from 1857 to 1872, 1 Riksdaler Riksmynt = 100 Ore = Â¼ Riksdaler Specie = 1 Riksdaler Riksgaeld; and after 1873, 1 Korona = 100 Ore. Data are annual from 1813 through 1863 using the cross-rate between the Swedish and Dutch currencies.  The Skillingar is used through 1857, the Riksdaler through 1872, and the Kronor beginning in 1873.  The Skillingar exchange rate data have been adjusted at a 4:5 rate due to the different rates between the Skillingar and the Riksdaler. See also the files XASEKM for exchange rates between Amsterdam and Stockholm with annual rates from 1740 to 1814 and monthly data thereafter.    Sweden adopted the gold standard on May 30, 1873 as part of the Scandinavian Monetary Union with 1 Pound Sterling = 18.1595 Kronor and 1 Kronor = 403.226 milligrams of fine gold. Convertibility was suspended on August 3, 1914, restored in January 1916, suspended in 1920, restored on April 1, 1924 when the Scandinavian Monetary Union was abandoned, and suspended on September 28, 1931 when it joined the sterling area at 1 Pound Sterling = 19.40 Kronor. Sweden abandoned the Sterling area and linked to the U.S. Dollar in September 1939 at a rate of 1 U.S. Dollar = 4.20 Kronor, changing to 3.60 Kronor on July 13, 1946, and 5.17 Kronor on September 20, 1949.",,
"USDCHF","Switzerland Francs per US Dollar","Exchange Rates - Market","United States Dollar","United States",,,,,,,"Currency Units","Units","Stock","none","Monthly From Jul 1819 To Jan 1867<BR>Weekly From Jan 1867 To Dec 1870<BR>Monthly From Jan 1871 To Jan 1914<BR>Weekly From Jan 1914 To Aug 1914<BR>Daily From Sep 1914 To Apr 2020<BR>","Sources: Neuer Zurcher Zeitung in Schneider (1816-1914), Koeniglich Preussischen Statistischen Landesamt, Statistisches Jahrbuch fur den Preussischen Staat, Berlin: KPSL, (1882-1911), Statistisches Reichsamt (1911-1913), Manuel des valeurs cotees a la Bourse de Geneve et des changes, Geneve: Societe de Banque Suisse (1914-1945), Franz Pick, Pick`s Currency Yearbook, New York: Pick`s World Currency Report (1951-1995) and Franz Pick and Rene Sedillot, All the Monies of the World, New York: Pick Publishing Corp., 1971; Jurgen Schneider, Oskar Schwarzer and Friedrich Zellfelder, Wahrungen der Welt, Vol. 1-10, Stuttgart: Franz Steiner Verlag, 1991; League of Nations, Monthly Statistical Bulletin, Geneva: League of Nations (1920-1946); Commercial and Financial Chronicle (1920-1970); Uffici di Cambi, Italy (1970-); Financial Times (1990-); National Bank of Switzerland web site <br />Notes: The Helvetian Republic adopted the Swiss Franc on March 17, 1799, equal to 1.5 Livre Tournois or 6.66 grams fine silver. On August 11, 1803 the Swiss Franc was set equal to 1/5 French Franc or 6.75 grams of fine silver. Values from 1819 to 1838 are based upon Geneva using the French Franc. Geneva linked to the French Franc at 4.50 grams on February 7, 1838 and the rest of Switzerland joined when the monetary unification of Switzerland was established on May 7, 1850. The cross exchange rate between the Swiss and French Francs in Geneva is used through 1864. Switzerland joined the Convention of Latin Monetary Union on December 23, 1865. Convertibility was suspended on August 3, 1914, and the gold standard was established on December 20, 1929 at 1 Swiss Franc = 290.3225 milligrams of fine gold, devaluing to 4.15 Swiss Francs per dollar on September 27, 1936, stabilizing at 4.32 Swiss Francs per dollar on May 31, 1940.",,
"GBPUSD","US Dollars per British Pound","Exchange Rates - Market","United Kingdom Pound","United Kingdom",,,,,,,"Currency Units","Units","Stock","none","Monthly From Apr 1660 To Jan 1855<BR>Weekly From Jan 1855 To Dec 1858<BR>Monthly From Jan 1859 To Dec 1861<BR>Daily From Jan 1862 To Apr 2020<BR>","Sources: John J. McCusker, Money and Exchange in Europe and America, 1600-1775: A Handbook, Chapel HIll: University of North Carolina Press, 1978 (1640-1775), The Course of the Exchange (1640-1850) and The Economist (1850-1914) in Jurgen Schneider, Oskar Schwarzer and Friedrich Zellfelder, Wahrungen der Welt, Vol. 1-10, Stuttgart: Franz Steiner Verlag, 1991 (1640-1914), Henry Phillips, Historical Sketches of the Paper Currency of the American Colonies, New York: Burt Franklin, 1865-1866 (1969), National Monetary Commission, Statistics for Great Britain, Germany, and France, Washington, D.C., Vol. XXI, 1910 (1888-1912), Franz Pick, Pick's Currency Yearbook, New York: Pick's World Currency Report (1951-1995) and Franz Pick and Rene Sedillot, All the Monies of the World, New York: Pick Publishing Corp., 1971; Commercial and Financial Chronicle; Federal Reserve Board, Federal Reserve Bulletin, Washington D.C.: U.S. Government Printing Office; Ufficio Italiano dei Cambi; Bundesbank, Exchange Rate Statistics; Reuters, Schweizerisches Nationalbank, Monatsbericht, Zurich; Bank of England <br />Notes: From April 1949 to November 1952, the data in the ""low"" column is the black market rate for Pound Sterling while the data in the other columns is the official exchange rate for Pound Sterling. Before 1793, colonial currencies rather than the U.S. dollar were used for trade between London and the U.S. We have converted the colonial currencies to the British exchange rate in order that a long-term exchange rate can be presented.  The Massachusetts Shilling is used from 1640 to 1699 and the Pennsylvania Shilling is used from 1700 to 1792. During the Revolutionary War, states adopted depreciation schedules for the Continental Dollar, and the Pennsylvania depreciation schedule is used from 1777 to 1781. A conversion rate of 3 Dollars to 8 Pennsylvania Shillings is used in 1792.  Another problem lies with the civil war period when the United States went off the gold standard. Although The U.S. was off the gold standard from 1862 to 1864, a gold premium on the dollar can be used to determine the equivalent value of the paper and gold dollar. The gold value of the dollar is provided in the “high” column, the paper value of the dollar in the “low” column and the market rate on the dollar in the “close” column.  <br />The United Kingdom adopted the gold standard, in principle, on June 22, 1816, and the UK departed from gold in June 1914 when World War I began.  The UK returned to gold in April 28, 1925 with 1 Pound Sterling = 4.86653 U.S. Dollars, then permanently abandoned gold for paper on September 21, 1931. The pound was pegged at 4.03 dollars in March 1940, devalued to 2.8 U.S. Dollars on September 18,1949 and 2.40 U.S. Dollars on November 18, 1967. The United Kingdom introduced a decimal system on February 15, 1971. <br />The Falkland Islands Pound, Gibralter Pound, Isle of Man Pound, Guernsey Pound, and St. Helena Pound are linked to the British Pound at Parity.",,"Currency converted to USD using British Pounds per US Dollar (USDGBP)"
"_DJCBPD","Dow Jones Corporate Bond Price Index (new)","Bond Indices","United States Dollar","United States",,,,,,,"Index Number","Units","Stock","none","Daily From Apr 1915 To Apr 2020<BR>","There have been three Dow Jones Bond Averages. The original index was subdivided into four indices that were also kept on a daily basis back to 1915.  It consisted of ten bonds from four groups: high-grade rails, second-grade rails, utility bonds and industrial bonds.  The index was discontinued in its existing form on June 30, 1976 because of the reduction in the number of rail bonds and the new DJBA, which excludes railroad bonds, was introduced. <br />A new Dow Jones Bond Average replaced the old bond average of 40 bonds in July 1976. The old bond average used a composite of 40 bonds and four sub-indices of 10 high-grade rails, 10 second-grade rails, 10 public utilities, and 10 industrials.  The shrinkage in the number of railway bonds required the computation of a new average. These bond indices were discontinued on April 5, 2002 when the new Dow Jones Corporate Bond Averages were introduced. <br />  The Dow Jones Coporate Bond Return Index was introduced on April 5, 2002.  Data were calculated back to 1997 with the base set at December 31, 1996 = 100.  The index includes only bullet bonds that cannot be called, and is equally weighted rather than capitalization weighted. Separate indices are calculated for Industrials, Utilities and Finance, with sub-indices calculated for average maturities of 2, 5, 10, and 30 (17.5 years+)-year bonds.  The index in theory includes 96 bonds, 32 from each sector. Historical prices and yields for the Dow Jones Bond Indices have been used to calculate the total return index on a weekly basis back to April 1915.",,
"NG_P_WTD","Natural Gas Wellhead Price West Texas (US$/MCF)","Commodity Prices","United States Dollar","United States",,,,,,,"National Currency","Units","Stock","none","Annual From Dec 1889 To Dec 1975<BR>Monthly From Jan 1976 To Dec 1995<BR>Weekly From Jan 1996 To Jan 1997<BR>Daily From Jan 1997 To Aug 2013<BR>","The price of manufactured gas is used from 1889 to 1934.",,
"CMWXMMM","World Bank Metals and Minerals Commodity Price Index","Commodity Indices","United States Dollar","United States",,,,,,,"Index Number","Units","Stock","none","Annual From Dec 1900 To Dec 1959<BR>Monthly From Jan 1960 To Mar 2020<BR>","Annual data use an index from Ocampo, J.A. and M.A. Parra, “The Terms of Trade for Commodities in the Twentieth Century”, ECLAC Review, No. 79, April 2003.  Monthly data are from the World Bank.",,
"ITUSA3CMD","USA Government 3-Month T-Bills Constant Maturity Yield","Treasury Bill Yields","United States Dollar","United States",,,0,,,,"Percent per Annum","Units","Stock","none","Monthly From Jan 1920 To Dec 1933<BR>Weekly From Jan 1934 To Dec 1953<BR>Daily From Jan 1954 To Apr 2020<BR>","Sources: Board of Governors of the Federal Reserve System, Federal Reserve Bulletin (1935-) <br />Notes: Treasury bills were introduced in the United States in 1929, but no data are available before 1931. Prior to that data on treasury bills with a maturity of 3-6 months, as calculated by the Federal Reserve, is used.  Data prior to 1931 are for the shortest term US bond that is available.  <br />Treasury bill secondary market rates are the averages of the bid rates quoted on a bank discount basis by a sample of primary dealers who report to the federal reserve bank of new york. The rates reported are based on quotes at the official close of the  U.S. government securities market for each business day.",,
